respond,companySize,companyName,experience,releaseDate,recruitName,companyPlace,wages,education,companyType
,公司规模：1000-9999人,北京传智播客教育科技有限公司,经验：1-3年,昨天,python爬虫讲师,地点：北京,20000-35000,学历：本科,公司性质：民营
,公司规模：1000-9999人,新奥特(北京)视频技术有限公司,经验：1-3年,昨天,工程师,地点：北京,10001-15000,学历：本科,公司性质：外商独资
,公司规模：100-499人,上海混沌投资(集团)有限公司,经验：1-3年,昨天,工程师（应届生）,地点：上海,10000-20000,学历：本科,公司性质：其它
,公司规模：20-99人,蔻赛(北京)贸易有限责任公司,经验：1-3年,昨天,网络爬虫开发工程师,地点：北京,6001-8000,学历：本科,公司性质：民营
64%,公司规模：20-99人,广州探迹科技有限公司,经验：3-5年,昨天,高级爬虫工程师-大数据人工智能产品-L10,地点：广州,10001-15000,学历：本科,公司性质：民营
,公司规模：20-99人,柏科数据技术(深圳)股份有限公司,经验：3-5年,昨天,网络爬虫开发,地点：北京,10001-15000,学历：本科,公司性质：股份制企业
,公司规模：20-99人,杭州有数金融信息服务有限公司,经验：1-3年,昨天,工程师,地点：杭州-江干区,8000-16000,学历：大专,公司性质：民营
,公司规模：20-99人,脉讯在线(北京)信息技术有限公司,经验：1-3年,昨天,网络爬虫工程师,地点：北京-海淀区,15001-20000,学历：本科,公司性质：民营
,公司规模：20-99人,广州探迹科技有限公司,经验：1-3年,昨天,工程师实习生,地点：广州-番禺区,2001-4000,学历：本科,公司性质：民营
,公司规模：100-499人,第一视频(北京)网络技术有限公司,经验：3-5年,昨天,高级爬虫工程师,地点：北京,15000-25000,学历：本科,公司性质：上市公司
,公司规模：100-499人,苏州友教习亦教育科技有限公司,经验：1-3年,昨天,中级爬虫工程师,地点：北京-朝阳区,15001-20000,学历：大专,公司性质：民营
50%,公司规模：20-99人,广州舜辰信息科技有限公司,经验：3-5年,昨天,网络爬虫工程师,地点：广州,15000-20000,学历：本科,公司性质：民营
,公司规模：100-499人,平安国际融资租赁有限公司,经验：3-5年,昨天,互联网爬虫技术专家,地点：上海,面议,公司规模：100-499人,公司性质：合资
53%,公司规模：100-499人,杭州搜视网络有限公司,经验：1-3年,昨天,开发工程师,地点：杭州-西湖区,8000-15000,学历：本科,公司性质：民营
52%,公司规模：100-499人,深圳前海大众互联网金融服务有限公司湖南分公司,经验：1-3年,昨天,工程师,地点：长沙,10000-15000,学历：不限,公司性质：民营
,公司规模：20-99人,北京博派通达科技有限公司,经验：1-3年,昨天,Python 高级工程师（模拟请求、爬虫方向）,地点：北京,10001-15000,学历：本科,公司性质：民营
,公司规模：100-499人,上海芃鼎金融信息服务有限公司,经验：1-3年,昨天,python爬虫工程师,地点：上海,8001-10000,学历：大专,公司性质：民营
,公司规模：500-999人,山东英特力光通信开发有限公司,经验：3-5年,昨天,开发工程师,地点：北京-海淀区,10000-20000,学历：本科,公司性质：民营
100%,公司规模：20-99人,安徽洋品行电子商务有限公司,经验：3-5年,昨天,Python爬虫工程师,地点：武汉,8001-10000,学历：本科,公司性质：民营
75%,公司规模：20-99人,北京亿虎迎通信息技术有限公司,经验：3-5年,前天,后端服务器（python爬虫，算法与挖掘方向）,地点：北京,15000-20000,学历：大专,公司性质：民营
,公司规模：20-99人,杭州战鱼互游网络科技有限公司,经验：1-3年,前天,工程师,地点：杭州,10001-15000,学历：大专,公司性质：民营
67%,公司规模：100-499人,武汉尔湾文化传播有限公司,经验：1-3年,前天,Java工程师（爬虫）,地点：武汉,2001-4000,学历：大专,公司性质：民营
,公司规模：20-99人,云鸽在线(北京)信息技术有限公司,经验：1-3年,前天,python爬虫开发工程师,地点：北京,12000-24000,学历：本科,公司性质：民营
,公司规模：20-99人,北京造数科技有限公司,经验：1-3年,前天,数据采集工程师（爬虫工程师）,地点：北京,13000-18000,学历：本科,公司性质：民营
,公司规模：20-99人,中大信信用管理有限公司,经验：3-5年,前天,python爬虫工程师,地点：北京,12000-20000,学历：本科,公司性质：民营
,公司规模：20-99人,数景未来科技(贵州)有限公司,经验：3-5年,前天,实习工程师,地点：贵阳,2001-4000,学历：不限,公司性质：外商独资
,公司规模：20-99人,北京华志信软件股份有限公司,经验：1-3年,前天,工程师（Python）,地点：北京,8001-10000,学历：本科,公司性质：民营
,公司规模：100-499人,武汉魔景园电子商务有限公司,经验：1-3年,前天,工程师,地点：武汉-东湖新技术开发区,15001-20000,学历：不限,公司性质：民营
,公司规模：20人以下,上海信数金融信息服务有限公司,经验：1-3年,前天,软件工程师,地点：上海-杨浦区,10001-15000,学历：本科,公司性质：民营
97%,公司规模：1000-9999人,北京微影时代科技有限公司,经验：3-5年,前天,开发工程师,地点：北京,20001-30000,学历：本科,公司性质：合资
89%,公司规模：1000-9999人,北京微影时代科技有限公司,经验：3-5年,前天,开发工程师,地点：北京-朝阳区,15000-30000,学历：不限,公司性质：合资
70%,公司规模：20-99人,脉讯在线北京信息技术有限公司烟台分公司,经验：1-3年,前天,工程师,地点：烟台-芝罘区,5000-8000,学历：本科,公司性质：其它
,公司规模：20-99人,上海惠为信息技术有限公司郑州办事处,经验：3-5年,前天,java开发高级（侧重爬虫）-移动项目,地点：郑州-高新区,6000-10000,学历：大专,公司性质：民营
,公司规模：20-99人,成都数联寻英科技有限公司,经验：1-3年,前天,工程师,地点：成都,6000-10000,学历：本科,公司性质：民营
,公司规模：1000-9999人,深圳市博雅成信金融服务有限公司,经验：1-3年,前天,python开发工程师（爬虫方向）,地点：成都-高新区,6000-10000,学历：本科,公司性质：民营
,公司规模：20-99人,北京信者科技有限公司,经验：3-5年,前天,Java开发工程师（了解爬虫大数据）,地点：北京,13000-25000,学历：大专,公司性质：民营
94%,公司规模：20人以下,厦门柏谷信息科技有限公司,经验：1-3年,前天,Python爬虫工程师,地点：厦门,10000-15000,学历：本科,公司性质：民营
89%,公司规模：100-499人,成都四方伟业软件股份有限公司,经验：1-3年,前天,大数据开发工程师（偏爬虫方向）,地点：南京-雨花台区,10000-18000,学历：本科,公司性质：民营
,公司规模：100-499人,北京中科云峰科技有限公司,经验：1-3年,前天,（Java）带薪实习生，专业不限,地点：北京-海淀区,4001-6000,学历：大专,公司性质：股份制企业
,公司规模：10000人以上,上海你我贷互联网金融信息服务有限公司,经验：5-10年,前天,资深爬虫工程师--Python,地点：上海,30001-50000,学历：本科,公司性质：民营
55%,公司规模：20-99人,深圳市美铁科技有限公司,经验：1-3年,06-07,Python高级开发工程师-网络爬虫方向,地点：深圳,10001-15000,学历：本科,公司性质：民营
,公司规模：1000-9999人,广州万惠信息技术咨询服务有限公司,经验：3-5年,06-07,Java爬虫工程师,地点：广州,12000-20000,学历：本科,公司性质：民营
,公司规模：20-99人,上海艾摩广告有限公司,经验：1-3年,06-07,java网络爬虫工程师,地点：上海-浦东新区,12000-20000,学历：不限,公司性质：民营
95%,公司规模：100-499人,北京金衡和科技有限公司,经验：1-3年,06-07,工程师,地点：北京,15000-25000,学历：不限,公司性质：民营
,,,,,,,,,
,公司规模：1000-9999人,中国电子科技网络信息安全有限公司,,06-07,开发工程师,地点：成都,10000-20000,学历：不限,公司性质：国企
,公司规模：20-99人,南京梦网文化传播有限公司,经验：1-3年,06-07,网络爬虫开发工程师,地点：南京,8000-12000,学历：大专,公司性质：股份制企业
63%,公司规模：20-99人,北京商状元科技有限公司,经验：3-5年,06-07,高级爬虫开发工程师,地点：北京-海淀区,15001-20000,学历：大专,公司性质：民营
,公司规模：100-499人,江苏航云数据科技有限公司,经验：3-5年,06-07,云计算大数据爬虫R语言Hadoop高薪定向培养分析挖掘,地点：南京,6500-10000,学历：本科,公司性质：股份制企业
,公司规模：100-499人,康美健康云服务有限公司,经验：1-3年,06-07,工程师,地点：深圳-福田区,8000-15000,学历：大专,公司性质：合资
,公司规模：100-499人,北京永信至诚科技股份有限公司,经验：1-3年,06-07,Python开发工程师（爬虫）,地点：北京,10001-15000,学历：本科,公司性质：民营
88%,公司规模：100-499人,广州百伦供应链科技有限公司,经验：1-3年,06-07,工程师,地点：广州-天河区,8000-14000,学历：不限,公司性质：民营
,公司规模：20-99人,北京凯峰数据科技有限公司,经验：3-5年,06-07,Java高级工程师（爬虫工程师）,地点：北京,20001-30000,学历：本科,公司性质：民营
90%,公司规模：20-99人,北京企名片科技有限公司,经验：1-3年,06-07,工程师,地点：北京,10001-15000,学历：本科,公司性质：民营
,公司规模：10000人以上,美团点评 ,经验：1-3年,06-07,抓取/爬虫技术专家/高级工程师,地点：北京-朝阳区,面议,公司规模：10000人以上,公司性质：合资
75%,公司规模：20-99人,浙江信至尚企业征信服务有限公司,经验：1-3年,06-07,工程师,地点：杭州-滨江区,10001-15000,学历：不限,公司性质：民营
,公司规模：100-499人,福建中金在线信息科技有限公司北京分公司,经验：3-5年,06-07,网站爬虫（Python）开发工程师,地点：北京,15001-20000,学历：本科,公司性质：上市公司
,公司规模：100-499人,福建中金在线信息科技有限公司北京分公司,经验：3-5年,06-07,工程师,地点：北京-朝阳区,10001-15000,学历：不限,公司性质：上市公司
,公司规模：500-999人,钱包金服(北京)科技有限公司,经验：3-5年,06-07,工程师,地点：北京,15000-30000,学历：不限,公司性质：上市公司
,公司规模：20-99人,南京商数信息技术有限公司,经验：1-3年,06-07,Python爬虫工程师,地点：南京,6000-10000,学历：本科,公司性质：民营
,公司规模：100-499人,合享汇智信息科技集团有限公司,经验：1-3年,06-07,网络爬虫工程师,地点：北京,8001-10000,学历：本科,公司性质：民营
,公司规模：100-499人,国政通科技股份有限公司,经验：1-3年,06-06,工程师,地点：北京-海淀区,15001-20000,学历：大专,公司性质：其它
,公司规模：500-999人,北京星怡动信息技术有限公司,经验：3-5年,06-06,工程师,地点：北京,15000-30000,学历：本科,公司性质：民营
,公司规模：500-999人,上海米么金融信息服务有限公司,经验：3-5年,06-06,开发工程师,地点：上海-浦东新区,15001-20000,学历：本科,公司性质：民营
,公司规模：100-499人,杭州禄坤科技有限公司,经验：3-5年,06-06,工程师,地点：杭州-滨江区,15001-20000,学历：不限,公司性质：股份制企业
,公司规模：20-99人,北京蓝鲸互动科技发展有限公司,经验：1-3年,06-06,开发工程师,地点：北京,8001-10000,学历：不限,公司性质：其它
,公司规模：1000-9999人,微贷(杭州)金融信息服务有限公司,经验：1-3年,06-06,工程师,地点：杭州,10001-15000,学历：不限,公司性质：民营
,公司规模：1000-9999人,湖南竞网智赢网络技术有限公司,经验：1-3年,06-06,工程师,地点：长沙-岳麓区,6000-10000,学历：本科,公司性质：民营
51%,公司规模：100-499人,久远谦长(北京)技术服务有限公司,经验：1-3年,06-06,工程师,地点：北京,10000-20000,学历：本科,公司性质：民营
,公司规模：20-99人,广州金科企业征信有限公司,经验：1-3年,06-06,工程师/数据爬虫工程师/数据采集工程师,地点：广州,8000-15000,学历：大专,公司性质：民营
100%,公司规模：100-499人,河南银谷时空网络科技有限公司,经验：1-3年,06-06,Python数据开发/网络爬虫/软件开发,地点：郑州-金水区,6001-8000,学历：大专,公司性质：股份制企业
,公司规模：1000-9999人,广联达科技股份有限公司,经验：3-5年,06-06,工程师-工程信息(004089)(004185),地点：北京,15001-20000,学历：本科,公司性质：民营
,公司规模：20-99人,北京炫世纪文化发展有限公司,经验：3-5年,06-06,工程师,地点：北京-朝阳区,6001-8000,学历：不限,公司性质：民营
,公司规模：20-99人,深圳市致远科技有限公司,经验：3-5年,06-06,开发工程师,地点：深圳-龙岗区,10000-20000,学历：不限,公司性质：民营
,公司规模：20-99人,深圳米钻网络科技有限公司,经验：3-5年,06-06,工程师,地点：深圳-福田区,15001-20000,学历：本科,公司性质：合资
,公司规模：20-99人,上海金毛鼠信息科技有限公司,经验：1-3年,06-06,python高级爬虫工程师(数据爬虫),地点：上海-浦东新区,10000-20000,学历：本科,公司性质：民营
,公司规模：100-499人,广州创品知识产权服务有限公司,经验：1-3年,06-06,数据分析员（网络爬虫）,地点：广州,8000-15000,学历：本科,公司性质：民营
,公司规模：20-99人,《政府采购信息》报社有限公司,经验：1-3年,06-05,python/java 中级工程师（网络爬虫方向）,地点：北京,8000-12000,学历：本科,公司性质：其它
98%,公司规模：100-499人,河北中废通网络技术有限公司,经验：1-3年,06-05,高级爬虫工程师,地点：石家庄,4001-6000,学历：大专,公司性质：民营
,公司规模：100-499人,深圳市极兵城电子商务有限公司,经验：1-3年,06-05,工程师 数据库,地点：深圳,8001-10000,学历：不限,公司性质：民营
,公司规模：1000-9999人,健客网,经验：3-5年,06-05,大数据工程师（Python 爬虫）,地点：广州,15001-20000,学历：本科,公司性质：民营
,公司规模：1000-9999人,新智认知数据服务有限公司,经验：3-5年,06-05,软件开发工程师（爬虫采集方向）--ZHLY,地点：北京,8001-10000,学历：本科,公司性质：上市公司
,公司规模：500-999人,中国搜索信息科技股份有限公司,经验：1-3年,06-05,搜索爬虫研发工程师--c++,地点：北京,20001-30000,学历：本科,公司性质：国企
,公司规模：1000-9999人,金色世纪商旅网,经验：1-3年,06-05,python、爬虫工程师,地点：北京,1000元以下,学历：本科,公司性质：民营
,公司规模：100-499人,成都优易数据有限公司,经验：1-3年,06-05,高级爬虫工程师,地点：成都,10001-15000,学历：本科,公司性质：国企
64%,公司规模：20-99人,全景保险经纪（北京）有限责任公司,经验：1-3年,06-05,工程师,地点：北京,10001-15000,学历：本科,公司性质：合资
,公司规模：20-99人,广东集成数据有限公司,经验：3-5年,06-05,高级工程师,地点：佛山,5000-8000,学历：本科,公司性质：民营
,公司规模：20-99人,上海大岂网络科技有限公司,经验：1-3年,06-05,Python工程师（爬虫）,地点：上海,15000-30000,学历：本科,公司性质：外商独资
,公司规模：20-99人,上海卫诚企业征信有限公司,经验：1-3年,06-05,网络爬虫工程师,地点：上海,8000-15000,学历：本科,公司性质：合资
,公司规模：20-99人,上海睿翎法律咨询服务有限公司,经验：1-3年,06-05,工程师,地点：上海,9000-18000,学历：本科,公司性质：民营
,公司规模：100-499人,北京智慧星光信息技术有限公司,经验：3-5年,06-05,高级爬虫工程师,地点：北京,15000-25000,学历：本科,公司性质：民营
,公司规模：20人以下,杭州猎客科技有限公司,经验：3-5年,06-04,开发工程师,地点：杭州,20001-30000,学历：本科,公司性质：民营
79%,公司规模：20人以下,贵州英华网络科技有限公司,经验：3-5年,06-04,网络爬虫工程师,地点：贵阳,10000-15000,学历：不限,公司性质：外商独资
,公司规模：1000-9999人,玖富金科控股集团有限责任公司,经验：5-10年,06-02,研发经理,地点：北京,25000-40000,学历：本科,公司性质：民营
,公司规模：100-499人,河南银谷时空网络科技有限公司,经验：5-10年,06-02,Python网络爬虫/程序员【零基础 带薪年假】,地点：郑州-金水区,6001-8000,学历：大专,公司性质：股份制企业
,公司规模：100-499人,天创信用服务有限公司,经验：3-5年,06-02,工程师,地点：北京-朝阳区,15001-20000,学历：本科,公司性质：民营
,公司规模：100-499人,中智智人信息技术有限公司,经验：1-3年,06-02,数据工程师  （爬虫方向）,地点：北京,6000-12000,学历：本科,公司性质：国企
,公司规模：1000-9999人,厦门市美亚柏科信息股份有限公司,经验：3-5年,06-02,JAVA研发工程师（爬虫方向）,地点：厦门,8000-16000,学历：本科,公司性质：上市公司
,公司规模：100-499人,工业互联网创新中心(上海)有限公司,经验：3-5年,06-02,开发工程师,地点：上海-浦东新区,8000-16000,学历：本科,公司性质：国企
,公司规模：100-499人,国信优易数据有限公司,经验：3-5年,06-02,高级爬虫工程师,地点：北京,15000-20000,学历：本科,公司性质：股份制企业
,公司规模：100-499人,上海欣方智能系统有限公司,经验：3-5年,06-02,网络爬虫工程师,地点：北京-海淀区,12000-24000,学历：不限,公司性质：合资
,公司规模：20-99人,东莞市速房房地产中介有限公司,经验：3-5年,06-01, 渗透 工程师,地点：东莞,30001-50000,学历：不限,公司性质：民营
,公司规模：100-499人,上海朋数信息科技有限公司,经验：1-3年,06-01,开发及运维人员,地点：上海,7000-10000,学历：大专,公司性质：其它
,公司规模：1000-9999人,华夏信财股权投资管理有限公司,经验：3-5年,06-01,工程师,地点：上海-浦东新区,15001-20000,学历：本科,公司性质：合资
,公司规模：20-99人,科盛数聚(北京)科技有限公司,经验：1-3年,06-01,Python爬虫工程师,地点：北京,10001-15000,学历：本科,公司性质：股份制企业
,,,,,,,,,
,公司规模：20-99人,中联中环教育科技(北京)有限公司,经验：1-3年,06-01,网络爬虫工程师,地点：北京-海淀区,8000-12000,学历：本科,公司性质：股份制企业
67%,公司规模：1000-9999人,辽宁鼎辉投资集团有限公司,经验：3-5年,06-01,Crawler工程师（爬虫工程师）,地点：北京-朝阳区,15001-20000,学历：本科,公司性质：民营
,公司规模：500-999人,江苏宝贝金融信息服务有限公司,经验：3-5年,06-01,高级JAVA工程师（爬虫与图形验证码方向）,地点：南京,15000-25000,学历：本科,公司性质：民营
,公司规模：100-499人,广州大麦信息科技有限公司,经验：1-3年,06-01,工程师,地点：广州,10001-15000,学历：大专,公司性质：民营
,公司规模：20-99人,烽鸟出行科技(北京)有限公司,经验：3-5年,06-01,网络爬虫开发工程师,地点：北京,15000-25000,学历：大专,公司性质：股份制企业
,公司规模：100-499人,江西网优科技股份有限公司,经验：1-3年,06-01,五险一金8K聘爬虫工程师,地点：萍乡,6001-8000,学历：本科,公司性质：股份制企业
,公司规模：500-999人,重庆易极付科技有限公司,经验：3-5年,06-01,高级爬虫工程师,地点：重庆,10000-20000,学历：本科,公司性质：股份制企业
,公司规模：1000-9999人,北京世纪好未来教育科技有限公司,经验：无经验,06-01,实习生,地点：北京,4001-6000,学历：不限,公司性质：民营
50%,公司规模：20-99人,济南明和中业信息技术有限公司,经验：3-5年,05-31,工程师,地点：济南,6000-10000,学历：本科,公司性质：民营
,公司规模：10000人以上,上融网络科技(北京)有限公司,经验：1-3年,05-31,工程师,地点：北京,15001-20000,学历：本科,公司性质：民营
97%,公司规模：100-499人,网智天元科技集团股份有限公司,经验：3-5年,05-31,高级爬虫工程师（java/python/c）,地点：北京-西城区,15000-25000,学历：本科,公司性质：民营
54%,公司规模：20-99人,深圳市亿鼎达科技有限公司,经验：1-3年,05-31,Python开发工程师/数据挖掘工程师/网络,地点：深圳,10001-15000,学历：大专,公司性质：其它
,公司规模：100-499人,数据堂(北京)科技股份有限公司,经验：无经验,05-31,实习生,地点：北京,2001-4000,学历：本科,公司性质：股份制企业
,公司规模：20-99人,北京最印象科技有限公司,经验：3-5年,05-31,工程师,地点：北京-顺义区,10000-20000,学历：大专,公司性质：民营
83%,公司规模：100-499人,济南舒卫能生物技术有限公司,经验：3-5年,05-31,Python程序员/爬虫工程师,地点：济南,8001-10000,学历：大专,公司性质：民营
,公司规模：100-499人,湖南云隆信息科技有限公司,经验：3-5年,05-31,工程师,地点：长沙,15001-20000,学历：本科,公司性质：民营
,公司规模：500-999人,普天信息技术有限公司,经验：3-5年,05-31,web爬虫和分析工程师,地点：北京-海淀区,10001-15000,学历：本科,公司性质：国企
,公司规模：100-499人,北京奥维云网大数据科技股份有限公司,经验：1-3年,05-31,网络爬虫工程师,地点：北京-朝阳区,10001-15000,学历：大专,公司性质：上市公司
,公司规模：100-499人,中胜信用管理有限公司,经验：1-3年,05-31,工程师（java）,地点：北京,10001-15000,学历：大专,公司性质：民营
,公司规模：20-99人,北京蓝水科技文化有限公司,经验：1-3年,05-31,数据采集工程师 爬虫工程师,地点：北京,10001-15000,学历：本科,公司性质：民营
100%,公司规模：20-99人,北京博瑞浩宇科技有限公司安徽分公司,经验：1-3年,05-31,网络爬虫工程师,地点：合肥-蜀山区,4001-6000,学历：大专,公司性质：民营
,公司规模：100-499人,深圳市佰事德科技有限公司,经验：1-3年,05-31,BI工程师/爬虫工程师,地点：深圳-龙华新区,7000-9000,学历：大专,公司性质：合资
,公司规模：20-99人,上海睿翎法律咨询服务有限公司,经验：1-3年,05-31,架构师,地点：上海,15000-30000,学历：大专,公司性质：民营
63%,公司规模：20-99人,北京原始会投资管理有限公司,经验：1-3年,05-30,python爬虫工程师--金融科技领域,地点：北京,15000-30000,学历：本科,公司性质：民营
100%,公司规模：20人以下,上海文台网络科技有限公司,经验：1-3年,05-27,开发工程师,地点：上海,10001-15000,学历：本科,公司性质：股份制企业
,公司规模：20-99人,北京汇游科技有限公司,经验：1-3年,05-27,Python研发工程师 ,地点：北京-朝阳区,15001-20000,学历：本科,公司性质：民营
,公司规模：1000-9999人,北京嘀嘀无限科技发展有限公司 ,经验：1-3年,05-27,高级爬虫开发工程师 (J170503001),地点：北京,15000-30000,学历：不限,公司性质：外商独资
,公司规模：20-99人,上海卫诚企业征信有限公司,经验：1-3年,05-27,网络爬虫分析师,地点：上海,7500-15000,学历：本科,公司性质：合资
,公司规模：20-99人,武汉猎英企业顾问有限公司,经验：1-3年,05-27,高级爬虫工程师,地点：北京,15001-20000,学历：本科,公司性质：民营
,公司规模：20-99人,深圳前海融数通科技有限公司,经验：1-3年,15天前,开发工程师,地点：成都-高新区,7000-12000,学历：本科,公司性质：民营
,公司规模：20-99人,深圳前海融数通科技有限公司,经验：1-3年,15天前,开发工程师,地点：成都-高新区,7000-12000,学历：本科,公司性质：民营
,公司规模：20-99人,聚诚仁和信息科技(北京)有限公司,经验：1-3年,15天前,网络爬虫工程师,地点：北京-朝阳区,10001-15000,学历：本科,公司性质：民营
,公司规模：20-99人,南京奥之云信息技术有限公司,经验：1-3年,15天前,java网络爬虫工程师,地点：南京-江宁区,6001-8000,学历：大专,公司性质：民营
75%,公司规模：20-99人,南京软航信息科技有限公司,经验：1-3年,15天前,技术实训生（大数据）,地点：南京,6001-8000,学历：本科,公司性质：民营
,公司规模：500-999人,盐城优易数据有限公司,经验：1-3年,15天前,工程师,地点：盐城,6001-8000,学历：大专,公司性质：国企
,公司规模：20-99人,企家有道网络技术(北京)有限公司,经验：无经验,15天前,java爬虫实习生（2018届）,地点：北京,2001-4000,学历：本科,公司性质：民营
,公司规模：100-499人,上海定菱网络科技有限公司,经验：无经验,15天前,Python工程师-爬虫方向,地点：北京,23000-35000,学历：大专,公司性质：民营
73%,公司规模：1000-9999人,深圳瑞银信信息技术有限公司北京分公司,经验：3-5年,15天前,工程师,地点：北京,15001-20000,学历：本科,公司性质：民营
,公司规模：20-99人,石家庄安泽重工机械设备有限公司,经验：3-5年,15天前,网页爬虫制作,地点：石家庄-桥西区,2001-4000,学历：不限,公司性质：民营
,公司规模：100-499人,北京中科信利技术有限公司,经验：1-3年,15天前,工程师,地点：北京-海淀区,10000-20000,学历：本科,公司性质：合资
,公司规模：20-99人,昆明翔天科技有限公司,经验：1-3年,15天前,/数据采集,地点：昆明,4000-8000,学历：中专,公司性质：民营
,公司规模：10000人以上,上海你我贷互联网金融信息服务有限公司,经验：5-10年,15天前,数据爬虫工程师,地点：北京-朝阳区,15000-30000,学历：本科,公司性质：民营
,公司规模：1000-9999人,Michael Page,经验：5-10年,15天前,高级爬虫工程师,地点：北京,面议,经验：3-5年,公司性质：外商独资
,公司规模：20人以下,中数经纬科技(北京)有限公司,经验：3-5年,15天前,(中高级)爬虫工程师,地点：北京,12000-24000,学历：本科,公司性质：民营
,公司规模：100-499人,南京甄视智能科技有限公司,经验：1-3年,15天前,工程师,地点：南京,8000-16000,学历：本科,公司性质：民营
,公司规模：1000-9999人,湖南竞网智赢网络技术有限公司,经验：1-3年,15天前,工程师,地点：长沙,8000-15000,学历：本科,公司性质：民营
,公司规模：1000-9999人,上海聚力传媒技术有限公司（PPTV网络电视）,经验：1-3年,15天前,JAVA+,地点：武汉-洪山区,6001-8000,学历：本科,公司性质：民营
63%,公司规模：20人以下,北京零一互联网络科技有限公司,经验：1-3年,15天前,技术爱好者,地点：青岛-李沧区,8001-10000,学历：不限,公司性质：民营
,公司规模：1000-9999人,备胎好车,经验：3-5年,15天前,高级爬虫工程师,地点：杭州-拱墅区,20000-30000,学历：本科,公司性质：民营
,公司规模：100-499人,珠海市小源科技有限公司,经验：3-5年,15天前,工程师,地点：深圳,15001-20000,学历：本科,公司性质：其它
,公司规模：100-499人,重庆赛华铭蓉电子商务有限公司,经验：3-5年,15天前,数据爬虫师,地点：重庆,8000-16000,学历：本科,公司性质：合资
91%,公司规模：100-499人,北京瑞智华胜科技有限公司,经验：1-3年,15天前,python爬虫工程师,地点：北京,8000-16000,学历：本科,公司性质：民营
,公司规模：20-99人,北京睿智伯乐咨询有限公司,经验：1-3年,15天前,大数据、爬虫工程师,地点：北京,15001-20000,学历：本科,公司性质：合资
,公司规模：20-99人,北京阿博茨科技有限公司,经验：1-3年,15天前,（Java/python）工程师,地点：武汉-东湖新技术开发区,8001-10000,学历：大专,公司性质：民营
,公司规模：20-99人,尚正(北京)信息技术有限公司,经验：3-5年,15天前,工程师,地点：北京-丰台区,10000-20000,学历：本科,公司性质：股份制企业
54%,公司规模：100-499人,杭州魔猫科技有限公司,经验：3-5年,15天前,Java工程师（爬虫方向）,地点：杭州-滨江区,15000-25000,学历：本科,公司性质：民营
67%,公司规模：20-99人,北京高地信息技术有限公司长沙分公司,经验：1-3年,15天前,java爬虫软件工程师,地点：长沙-开福区,8000-12000,学历：本科,公司性质：合资
