94,20%,20-99,《政府采购信息》报社有限公司,1-3,06-05,python/java 中级工程师（网络爬虫方向）,北京,8000-12000,本科,其它
95,98%,100-499,河北中废通网络技术有限公司,1-3,06-05,高级爬虫工程师,石家庄,4001-6000,大专,民营
96,20%,100-499,深圳市极兵城电子商务有限公司,1-3,06-05,工程师 数据库,深圳,8001-10000,不限,民营
97,20%,1000-9999,健客网,3-5,06-05,大数据工程师（Python 爬虫）,广州,15001-20000,本科,民营
98,20%,1000-9999,新智认知数据服务有限公司,3-5,06-05,软件开发工程师（爬虫采集方向）--ZHLY,北京,8001-10000,本科,上市公司
99,20%,500-999,中国搜索信息科技股份有限公司,1-3,06-05,搜索爬虫研发工程师--c++,北京,20001-30000,本科,国企
100,20%,1000-9999,金色世纪商旅网,1-3,06-05,python、爬虫工程师,北京,1000元以下,本科,民营
101,20%,100-499,成都优易数据有限公司,1-3,06-05,高级爬虫工程师,成都,10001-15000,本科,国企
102,64%,20-99,全景保险经纪（北京）有限责任公司,1-3,06-05,工程师,北京,10001-15000,本科,合资
103,20%,20-99,广东集成数据有限公司,3-5,06-05,高级工程师,佛山,5000-8000,本科,民营
104,20%,20-99,上海大岂网络科技有限公司,1-3,06-05,Python工程师（爬虫）,上海,15000-30000,本科,外商独资
105,20%,20-99,上海卫诚企业征信有限公司,1-3,06-05,网络爬虫工程师,上海,8000-15000,本科,合资
106,20%,20-99,上海睿翎法律咨询服务有限公司,1-3,06-05,工程师,上海,9000-18000,本科,民营
107,20%,100-499,北京智慧星光信息技术有限公司,3-5,06-05,高级爬虫工程师,北京,15000-25000,本科,民营
108,20%,20,杭州猎客科技有限公司,3-5,06-04,开发工程师,杭州,20001-30000,本科,民营
109,79%,20,贵州英华网络科技有限公司,3-5,06-04,网络爬虫工程师,贵阳,10000-15000,不限,外商独资
110,20%,1000-9999,玖富金科控股集团有限责任公司,5-10,06-02,研发经理,北京,25000-40000,本科,民营
111,20%,100-499,河南银谷时空网络科技有限公司,5-10,06-02,Python网络爬虫/程序员【零基础 带薪年假】,郑州,6001-8000,大专,股份制企业
112,20%,100-499,天创信用服务有限公司,3-5,06-02,工程师,北京,15001-20000,本科,民营
113,20%,100-499,中智智人信息技术有限公司,1-3,06-02,数据工程师  （爬虫方向）,北京,6000-12000,本科,国企
114,20%,1000-9999,厦门市美亚柏科信息股份有限公司,3-5,06-02,JAVA研发工程师（爬虫方向）,厦门,8000-16000,本科,上市公司
115,20%,100-499,工业互联网创新中心(上海)有限公司,3-5,06-02,开发工程师,上海,8000-16000,本科,国企
116,20%,100-499,国信优易数据有限公司,3-5,06-02,高级爬虫工程师,北京,15000-20000,本科,股份制企业
117,20%,100-499,上海欣方智能系统有限公司,3-5,06-02,网络爬虫工程师,北京,12000-24000,不限,合资
118,20%,20-99,东莞市速房房地产中介有限公司,3-5,06-01, 渗透 工程师,东莞,30001-50000,不限,民营
119,20%,100-499,上海朋数信息科技有限公司,1-3,06-01,开发及运维人员,上海,7000-10000,大专,其它
120,20%,1000-9999,华夏信财股权投资管理有限公司,3-5,06-01,工程师,上海,15001-20000,本科,合资
121,20%,20-99,科盛数聚(北京)科技有限公司,1-3,06-01,Python爬虫工程师,北京,10001-15000,本科,股份制企业
123,20%,20-99,中联中环教育科技(北京)有限公司,1-3,06-01,网络爬虫工程师,北京,8000-12000,本科,股份制企业
124,67%,1000-9999,辽宁鼎辉投资集团有限公司,3-5,06-01,Crawler工程师（爬虫工程师）,北京,15001-20000,本科,民营
125,20%,500-999,江苏宝贝金融信息服务有限公司,3-5,06-01,高级JAVA工程师（爬虫与图形验证码方向）,南京,15000-25000,本科,民营
126,20%,100-499,广州大麦信息科技有限公司,1-3,06-01,工程师,广州,10001-15000,大专,民营
127,20%,20-99,烽鸟出行科技(北京)有限公司,3-5,06-01,网络爬虫开发工程师,北京,15000-25000,大专,股份制企业
128,20%,100-499,江西网优科技股份有限公司,1-3,06-01,五险一金8K聘爬虫工程师,萍乡,6001-8000,本科,股份制企业
129,20%,500-999,重庆易极付科技有限公司,3-5,06-01,高级爬虫工程师,重庆,10000-20000,本科,股份制企业
130,20%,1000-9999,北京世纪好未来教育科技有限公司,,06-01,实习生,北京,4001-6000,不限,民营
131,50%,20-99,济南明和中业信息技术有限公司,3-5,05-31,工程师,济南,6000-10000,本科,民营
132,20%,10000,上融网络科技(北京)有限公司,1-3,05-31,工程师,北京,15001-20000,本科,民营
133,97%,100-499,网智天元科技集团股份有限公司,3-5,05-31,高级爬虫工程师（java/python/c）,北京,15000-25000,本科,民营
134,54%,20-99,深圳市亿鼎达科技有限公司,1-3,05-31,Python开发工程师/数据挖掘工程师/网络,深圳,10001-15000,大专,其它
135,20%,100-499,数据堂(北京)科技股份有限公司,,05-31,实习生,北京,2001-4000,本科,股份制企业
136,20%,20-99,北京最印象科技有限公司,3-5,05-31,工程师,北京,10000-20000,大专,民营
137,83%,100-499,济南舒卫能生物技术有限公司,3-5,05-31,Python程序员/爬虫工程师,济南,8001-10000,大专,民营
138,20%,100-499,湖南云隆信息科技有限公司,3-5,05-31,工程师,长沙,15001-20000,本科,民营
139,20%,500-999,普天信息技术有限公司,3-5,05-31,web爬虫和分析工程师,北京,10001-15000,本科,国企
140,20%,100-499,北京奥维云网大数据科技股份有限公司,1-3,05-31,网络爬虫工程师,北京,10001-15000,大专,上市公司
141,20%,100-499,中胜信用管理有限公司,1-3,05-31,工程师（java）,北京,10001-15000,大专,民营
142,20%,20-99,北京蓝水科技文化有限公司,1-3,05-31,数据采集工程师 爬虫工程师,北京,10001-15000,本科,民营
143,100%,20-99,北京博瑞浩宇科技有限公司安徽分公司,1-3,05-31,网络爬虫工程师,合肥,4001-6000,大专,民营
144,20%,100-499,深圳市佰事德科技有限公司,1-3,05-31,BI工程师/爬虫工程师,深圳,7000-9000,大专,合资
145,20%,20-99,上海睿翎法律咨询服务有限公司,1-3,05-31,架构师,上海,15000-30000,大专,民营
146,63%,20-99,北京原始会投资管理有限公司,1-3,05-30,python爬虫工程师--金融科技领域,北京,15000-30000,本科,民营
147,100%,20,上海文台网络科技有限公司,1-3,05-27,开发工程师,上海,10001-15000,本科,股份制企业
148,20%,20-99,北京汇游科技有限公司,1-3,05-27,Python研发工程师 ,北京,15001-20000,本科,民营
149,20%,1000-9999,北京嘀嘀无限科技发展有限公司 ,1-3,05-27,高级爬虫开发工程师 (J170503001),北京,15000-30000,不限,外商独资
150,20%,20-99,上海卫诚企业征信有限公司,1-3,05-27,网络爬虫分析师,上海,7500-15000,本科,合资
151,20%,20-99,武汉猎英企业顾问有限公司,1-3,05-27,高级爬虫工程师,北京,15001-20000,本科,民营
152,20%,20-99,深圳前海融数通科技有限公司,1-3,05-27,开发工程师,成都,7000-12000,本科,民营
153,20%,20-99,深圳前海融数通科技有限公司,1-3,05-27,开发工程师,成都,7000-12000,本科,民营
154,20%,20-99,聚诚仁和信息科技(北京)有限公司,1-3,05-27,网络爬虫工程师,北京,10001-15000,本科,民营
155,20%,20-99,南京奥之云信息技术有限公司,1-3,05-27,java网络爬虫工程师,南京,6001-8000,大专,民营
156,75%,20-99,南京软航信息科技有限公司,1-3,05-27,技术实训生（大数据）,南京,6001-8000,本科,民营
157,20%,500-999,盐城优易数据有限公司,1-3,05-27,工程师,盐城,6001-8000,大专,国企
158,20%,20-99,企家有道网络技术(北京)有限公司,,05-27,java爬虫实习生（2018届）,北京,2001-4000,本科,民营
159,20%,100-499,上海定菱网络科技有限公司,,05-27,Python工程师-爬虫方向,北京,23000-35000,大专,民营
160,73%,1000-9999,深圳瑞银信信息技术有限公司北京分公司,3-5,05-27,工程师,北京,15001-20000,本科,民营
161,20%,20-99,石家庄安泽重工机械设备有限公司,3-5,05-27,网页爬虫制作,石家庄,2001-4000,不限,民营
162,20%,100-499,北京中科信利技术有限公司,1-3,05-27,工程师,北京,10000-20000,本科,合资
163,20%,20-99,昆明翔天科技有限公司,1-3,05-27,/数据采集,昆明,4000-8000,中专,民营
164,20%,10000,上海你我贷互联网金融信息服务有限公司,5-10,05-27,数据爬虫工程师,北京,15000-30000,本科,民营
165,20%,1000-9999,Michael Page,5-10,05-27,高级爬虫工程师,北京,面议,,外商独资
166,20%,20,中数经纬科技(北京)有限公司,3-5,05-27,(中高级)爬虫工程师,北京,12000-24000,本科,民营
167,20%,100-499,南京甄视智能科技有限公司,1-3,05-27,工程师,南京,8000-16000,本科,民营
168,20%,1000-9999,湖南竞网智赢网络技术有限公司,1-3,05-27,工程师,长沙,8000-15000,本科,民营
169,20%,1000-9999,上海聚力传媒技术有限公司（PPTV网络电视）,1-3,05-27,JAVA+,武汉,6001-8000,本科,民营
170,63%,20,北京零一互联网络科技有限公司,1-3,05-27,技术爱好者,青岛,8001-10000,不限,民营
171,20%,1000-9999,备胎好车,3-5,05-27,高级爬虫工程师,杭州,20000-30000,本科,民营
172,20%,100-499,珠海市小源科技有限公司,3-5,05-27,工程师,深圳,15001-20000,本科,其它
173,20%,100-499,重庆赛华铭蓉电子商务有限公司,3-5,05-27,数据爬虫师,重庆,8000-16000,本科,合资
174,91%,100-499,北京瑞智华胜科技有限公司,1-3,05-27,python爬虫工程师,北京,8000-16000,本科,民营
175,20%,20-99,北京睿智伯乐咨询有限公司,1-3,05-27,大数据、爬虫工程师,北京,15001-20000,本科,合资
176,20%,20-99,北京阿博茨科技有限公司,1-3,05-27,（Java/python）工程师,武汉,8001-10000,大专,民营
177,20%,20-99,尚正(北京)信息技术有限公司,3-5,05-27,工程师,北京,10000-20000,本科,股份制企业
178,54%,100-499,杭州魔猫科技有限公司,3-5,05-27,Java工程师（爬虫方向）,杭州,15000-25000,本科,民营
179,67%,20-99,北京高地信息技术有限公司长沙分公司,1-3,05-27,java爬虫软件工程师,长沙,8000-12000,本科,合资
180,20%,500-999,中国科学院自动化研究所,1-3,05-27,工程师,北京,15001-20000,本科,事业单位
181,20%,20-99,云蜂科技有限公司,3-5,05-27,网络爬虫开发工程师,北京,15000-25000,本科,民营
182,100%,100-499,北京奇酷方舟信息技术有限公司郑州分公司,3-5,05-27,Python人工智能/Python网络爬虫/软件开发【可无经验 周末双休】,郑州,6001-8000,大专,民营
184,20%,20-99,北京鼎阅原创科技发展有限公司,3-5,05-27,java 高级工程师 （爬虫）,北京,20001-30000,本科,股份制企业
185,20%,100-499,东方丝路（深圳）科技有限公司,5-10,05-27,高级java工程师（爬虫架构师）,深圳,8000-15000,本科,外商独资
186,20%,10000,上融网络科技(北京)有限公司,1-3,05-27,工程师,北京,15001-20000,本科,民营
187,20%,10000,上融网络科技(北京)有限公司,1-3,05-27,工程师,北京,10001-15000,本科,民营
188,95%,100-499,杭州阿思拓信息科技有限公司,1-3,05-27,实习生（地铁口+带薪培训+轻松氛围）,杭州,3000-5000,不限,民营
189,20%,20-99,苏州开心盒子软件有限公司,1-3,05-27,工程师,苏州,10001-15000,本科,其它
190,100%,20-99,南京软航信息科技有限公司,1-3,05-27,（爬虫方向实训）数据挖掘，南邮合作，高薪,南京,6500-10000,本科,民营
191,100%,100-499,河南奇酷信息技术有限公司,1-3,05-27,python数据爬虫/应用开发【零基础 提供住宿】,郑州,6001-8000,大专,民营
192,20%,1000-9999,四达时代集团,1-3,05-27,工程师（大数据方向）,北京,15000-30000,不限,股份制企业
193,50%,20-99,杭州行允科技有限公司,1-3,05-27,工程师,杭州,8001-10000,本科,民营
194,20%,100-499,四川倍施特科技股份有限公司,1-3,05-27,工程师,成都,10000-15000,不限,民营
195,20%,20-99,上海灿福信息科技发展有限公司,1-3,05-27,工程师,上海,10000-20000,本科,民营
196,20%,20-99,柏邦蒲仕 CBC Services,3-5,05-27,网络爬虫高级工程师（深圳/广州/上海/北京）,深圳,20001-30000,本科,外商独资
197,20%,20-99,吉比艾（天津）软件研发有限公司,1-3,05-27,python爬虫工程师,天津,6001-8000,本科,民营
198,20%,20-99,吉比艾（天津）软件研发有限公司,1-3,05-27,python爬虫工程师,天津,6001-8000,本科,民营
199,100%,20-99,安徽洋品行电子商务有限公司,1-3,05-27,Python爬虫工程师,上海,6001-8000,本科,民营
200,100%,20-99,安徽洋品行电子商务有限公司,1-3,05-27,Python爬虫工程师,合肥,6001-8000,本科,民营
201,100%,20-99,安徽洋品行电子商务有限公司,1-3,05-27,Python爬虫工程师,六安,6001-8000,本科,民营
202,20%,100-499,中国科学院计算技术研究所烟台分所,1-3,05-27,工程师,烟台,4000-6000,本科,事业单位
203,20%,20,广州火焰信息科技有限公司,,05-27,开发实习生,广州,2000-4000,大专,民营
204,20%,100-499,网贷之家,,05-27,工程师,上海,5000-10000,不限,民营
205,20%,,成都安舟信息技术有限公司,,05-27,网络爬虫研发工程师,成都,面议,无经验,其它
206,20%,20-99,武汉人民在线信息科技有限公司,,05-27,网络爬虫研发工程师—逆向工程方向,武汉,6000-10000,大专,国企
207,20%,20-99,四川创享源信息技术有限公司,,05-27,大数据网络爬虫实习工程师,成都,4001-6000,大专,民营
208,100%,100-499,中国科学院计算技术研究所烟台分所,1-3,05-27,研发工程师-网络爬虫方向,烟台,4001-6000,本科,事业单位
209,100%,100-499,北京奇酷方舟信息技术有限公司,1-3,05-27,【可无经验 带薪实习】Python网络爬虫/软件开发,郑州,6001-8000,大专,民营
210,91%,20-99,游瑞世纪(北京)管理咨询有限公司,1-3,05-27,工程师【互联网大数据】,北京,15001-20000,本科,民营
211,20%,20-99,儒思(北京)教育科技有限公司,1-3,05-27,python,北京,8000-15000,本科,民营
212,60%,20-99,北京博晓通科技有限公司,5-10,05-27,工程师,北京,20000-25000,本科,民营
213,20%,20,数库(北京)科技有限公司,5-10,05-27,Python爬虫工程师,北京,10000-20000,不限,民营
214,20%,20-99,杭州凡闻科技有限公司,1-3,05-27,工程师,杭州,12000-18000,本科,民营
215,64%,20-99,南京软航信息科技有限公司,1-3,05-27,技术实习生（高薪+尽快到岗）,常州,8001-10000,本科,民营
216,20%,20-99,鼎复数据科技(北京)有限公司,1-3,05-27,Java爬虫，Python爬虫亦可,北京,20001-30000,本科,民营
217,20%,20-99,北京科睿金信技术有限公司,5-10,05-27,高级爬虫工程师,北京,15000-20000,本科,民营
218,20%,10000,上海复星高科技（集团）有限公司 ,,05-27,Java实习生-爬虫方向,上海,3500-4800,本科,上市公司
219,20%,10000,上海复星高科技（集团）有限公司 ,5-10,05-27,资深爬虫工程师/爬虫项目经理,上海,18000-28000,本科,上市公司
220,100%,100-499,北京奇酷方舟信息技术有限公司,5-10,05-27,【项目提成 带薪实习】Python工程师（爬虫）,郑州,6001-8000,大专,民营
221,20%,20-99,合肥乐维信息技术有限公司,5-10,05-27,网页爬虫工程师,合肥,3000-6000,大专,民营
222,20%,20-99,合肥乐维信息技术有限公司,1-3,05-27,Python爬虫工程师,合肥,5000-8000,不限,民营
223,20%,20-99,浙江至讯科技有限公司,5-10,05-27,工程师,杭州,15000-25000,本科,民营
224,20%,1000-9999,京东金融 ,5-10,05-27,工程师(021627),北京,面议,,外商独资
225,100%,100-499,北京奇酷方舟信息技术有限公司,5-10,05-27,工程师Python/数据采集工程师【实习 带薪】,郑州,6001-8000,大专,民营
226,20%,20,华瑞新智科技(北京)有限公司,1-3,05-27,数据采集爬虫工程师,北京,15001-20000,本科,民营
227,20%,100-499,龙信数据(北京)有限公司,3-5,05-27,高级爬虫系统开发工程师,北京,10001-15000,大专,民营
228,20%,100-499,北京媒立方传媒科技有限公司,1-3,05-27,工程师,北京,8001-10000,大专,民营
229,20%,1000-9999,北京荣之联科技股份有限公司,1-3,05-27,工程师,北京,10000-20000,本科,上市公司
230,100%,100-499,湖南网优信息技术有限公司,1-3,05-27,/采集工程师高薪+五险一金,长沙,6001-8000,大专,上市公司
231,20%,100-499,北京万朝科技有限公司,3-5,05-27,高级java爬虫工程师,北京,15000-25000,大专,民营
232,20%,10000,湖南新环境房地产经纪连锁有限公司四分公司,3-5,05-27,总部诚聘中、高级Java爬虫工程师,长沙,8000-10000,本科,民营
233,20%,1000-9999,Michael Page,3-5,05-27,高级爬虫工程师,广州,面议,,外商独资
234,20%,20-99,上海门迪智能科技有限公司,1-3,05-27,工程师（人工智能机器学习Spark/Hadoop 推荐算法 智能推荐）,上海,6000-12000,本科,民营
235,20%,20-99,北京弗求数码科技有限公司,1-3,05-27,python爬虫工程师,成都,4001-6000,本科,民营
236,20%,20-99,山东晟智信息技术有限公司,1-3,05-27,大数据爬虫工程师,济南,6001-8000,本科,民营
237,83%,500-999,杭州高信资产管理有限公司,1-3,05-27,工程师,杭州,10001-15000,本科,民营
238,82%,1000-9999,沣沅弘(北京)控股集团有限公司,1-3,05-27,工程师,上海,20001-30000,本科,民营
239,88%,20-99,唐山市速锦网络科技有限公司,1-3,05-27,Python爬虫工程师 /数据采集工程师,上海,10001-15000,不限,民营
240,20%,100-499,上海易所试网络信息技术股份有限公司,1-3,05-27,工程师（JAVA）,北京,面议,,民营
